year,firstname,surname,category,country,countryCode,lat,long,gender
1901,Emil Adolf,von Behring,medicine,Prussia (now Poland),PL,51.919438,19.145136,male
1901,Fr�d�ric,Passy,peace,France,FR,46.227638,2.213749,male
1901,Jacobus Henricus,van 't Hoff,chemistry,the Netherlands,NL,52.132633,5.291266,male
1901,Jean Henry,Dunant,peace,Switzerland,CH,46.818188,8.227512,male
1901,Sully,Prudhomme,literature,France,FR,46.227638,2.213749,male
1901,Wilhelm Conrad,R�ntgen,physics,Prussia (now Germany),DE,51.165691,10.451526,male
1902,Charles Albert,Gobat,peace,Switzerland,CH,46.818188,8.227512,male
1902,Christian Matthias Theodor,Mommsen,literature,Schleswig (now Germany),DE,51.165691,10.451526,male
1902,Elie,Ducommun,peace,Switzerland,CH,46.818188,8.227512,male
1902,Hendrik Antoon,Lorentz,physics,the Netherlands,NL,52.132633,5.291266,male
1902,Hermann Emil,Fischer,chemistry,Prussia (now Germany),DE,51.165691,10.451526,male
1902,Pieter,Zeeman,physics,the Netherlands,NL,52.132633,5.291266,male
1902,Ronald,Ross,medicine,India,IN,20.593684,78.96288,male
1903,Antoine Henri,Becquerel,physics,France,FR,46.227638,2.213749,male
1903,Bj�rnstjerne Martinus,Bj�rnson,literature,Norway,NO,60.472024,8.468946,male
1903,Marie,"Curie, nee Sklodowska",physics,Russian Empire (now Poland),PL,51.919438,19.145136,female
1903,Niels Ryberg,Finsen,medicine,Faroe Islands (Denmark),DK,56.26392,9.501785,male
1903,Pierre,Curie,physics,France,FR,46.227638,2.213749,male
1903,Svante August,Arrhenius,chemistry,Sweden,SE,60.128161,18.643501,male
1903,William Randal,Cremer,peace,United Kingdom,GB,55.378051,-3.435973,male
1904,Fr�d�ric,Mistral,literature,France,FR,46.227638,2.213749,male
1904,Institut de droit international (Institute of International Law),,peace,,,,,organisation
1904,Ivan Petrovich,Pavlov,medicine,Russia,RU,61.52401,105.318756,male
1904,Jos�,Echegaray y Eizaguirre,literature,Spain,ES,40.463667,-3.74922,male
1904,Lord Rayleigh,(John William Strutt),physics,United Kingdom,GB,55.378051,-3.435973,male
1904,Sir William,Ramsay,chemistry,Scotland,GB,55.378051,-3.435973,male
1905,Baroness Bertha Sophie Felicita,"von Suttner, nee Countess Kinsky von Chinic und Tettau",peace,Austrian Empire (now Czech Republic),CZ,49.817492,15.472962,female
1905,Henryk,Sienkiewicz,literature,Poland,PL,51.919438,19.145136,male
1905,Johann Friedrich Wilhelm Adolf,von Baeyer,chemistry,Prussia (now Germany),DE,51.165691,10.451526,male
1905,Philipp Eduard Anton,von Lenard,physics,Hungary (now Slovakia),SK,48.669026,19.699024,male
1905,Robert,Koch,medicine,Germany,DE,51.165691,10.451526,male
1906,Camillo,Golgi,medicine,Italy,IT,41.87194,12.56738,male
1906,Giosu�,Carducci,literature,Tuscany (now Italy),IT,41.87194,12.56738,male
1906,Henri,Moissan,chemistry,France,FR,46.227638,2.213749,male
1906,Joseph John,Thomson,physics,United Kingdom,GB,55.378051,-3.435973,male
